#{"t_start": 1764232152.7326164, "env_id": "None"}
r,l,t
-761.32806,1944,1.021663
-200.0,1,1.025859
-666.6341,1822,1.265203
-200.0,1,1.268728
-200.0,1,1.271987
-745.29144,2178,1.60223
-200.0,1,1.606218
-791.87823,2272,1.911859
-200.0,1,1.915875
-768.9263,2296,2.24772
-200.0,1,2.251199
-200.0,1,2.254567
-200.0,1,2.257902
-894.28735,2207,2.600973
-200.0,1,2.604524
-200.0,1,2.607785
-935.2431,2298,2.912486
-200.0,1,2.915777
-200.0,1,2.91906
-495.2771,2862,3.338243
-753.1796,2382,3.91296
-200.0,1,3.916494
-200.0,1,3.919872
-384.1505,676,4.275553
-200.0,1,4.279052
-331.21362,535,4.545053
-200.0,1,4.548801
-200.0,1,4.553702
-362.4465,708,4.892203
-200.0,1,4.895945
-323.37042,531,5.148298
-200.0,1,5.152295
-338.392,586,5.435889
-200.0,1,5.441052
-395.07373,636,5.741524
-200.0,1,5.745184
-200.0,1,5.748623
72.90725,604,6.073147
-580.42896,1154,6.607036
-200.0,1,6.610848
-330.05936,587,6.862149
-200.0,1,6.86639
-200.0,1,6.870372
-356.8437,613,7.168487
-200.0,1,7.175845
-361.4763,553,7.456229
-200.0,1,7.462622
94.329285,518,7.727021
-979.941,1998,8.713671
-200.0,1,8.717996
-305.5093,501,8.982983
-200.0,1,8.986795
-409.64905,639,9.296609
-200.0,1,9.300694
-329.87054,543,9.595679
-200.0,1,9.599417
-200.0,1,9.602784
-341.05933,521,9.88264
-200.0,1,9.88857
-317.24603,432,10.138296
-200.0,1,10.14265
-348.57745,514,10.422234
-200.0,1,10.42817
-179.43942,1340,11.117571
-334.0025,472,11.370086
-200.0,1,11.374251
-341.84277,471,11.63407
-200.0,1,11.637862
-200.0,1,11.641392
-342.51788,612,11.971247
-200.0,1,11.975573
-309.36118,489,12.236616
-200.0,1,12.240693
-336.16217,555,12.525408
-200.0,1,12.529646
-519.7041,1167,13.173241
-200.0,1,13.177021
-309.2706,509,13.429321
-200.0,1,13.433216
-812.7398,1732,14.40614
-200.0,1,14.412251
-556.5457,978,14.93226
-200.0,1,14.936075
-505.4804,1182,15.49912
-200.0,1,15.503526
-304.60965,446,15.741405
-200.0,1,15.746881
-368.00177,575,16.0303
-200.0,1,16.034559
-332.53827,554,16.303786
-200.0,1,16.309441
-362.252,560,16.579585
-200.0,1,16.583638
-571.949,1107,17.133971
-200.0,1,17.138164
-343.66577,495,17.39262
-200.0,1,17.396868
-347.58197,511,17.677093
-200.0,1,17.68151
-307.08588,436,17.92573
-200.0,1,17.929803
-317.9203,497,18.156906
-200.0,1,18.164286
-290.427,465,18.407734
-200.0,1,18.411601
-332.1593,454,18.646792
-200.0,1,18.650635
-200.0,1,18.65429
-344.6374,575,18.928505
-200.0,1,18.934182
-406.44342,654,19.242389
-200.0,1,19.246218
-505.30325,1263,19.839075
-200.0,1,19.843008
-317.15,399,20.069783
-200.0,1,20.073599
-296.4458,449,20.288511
-200.0,1,20.29214
-531.5593,1004,20.771139
-200.0,1,20.777522
-286.68246,416,20.992811
-200.0,1,20.996716
-200.0,1,21.000148
-586.4169,1045,21.539756
-200.0,1,21.546784
-303.95154,424,21.766705
-200.0,1,21.771324
-552.30054,1027,22.350711
-200.0,1,22.354757
-200.0,1,22.358432
-200.0,1,22.362058
-342.32904,585,22.675694
-200.0,1,22.680255
-507.59634,1030,23.204698
-200.0,1,23.209943
-565.1776,1244,23.817883
-200.0,1,23.821476
-200.0,1,23.825192
-359.72736,545,24.098129
-200.0,1,24.103602
-1011.8451,2348,25.314884
-200.0,1,25.320753
-474.89966,931,25.828743
-200.0,1,25.83298
-288.9849,427,26.074861
-200.0,1,26.079265
-336.11023,498,26.329137
-200.0,1,26.33426
-507.70688,972,26.829383
-200.0,1,26.833593
-546.33765,916,27.331175
-200.0,1,27.334642
-200.0,1,27.338002
151.97203,348,27.54683
-287.44598,385,27.783012
-200.0,1,27.786963
-200.0,1,27.791007
-319.11243,550,28.06201
-200.0,1,28.065612
-200.0,1,28.069168
-317.01727,493,28.320647
-200.0,1,28.325052
-286.09305,429,28.542956
-200.0,1,28.547257
-290.64325,414,28.779908
-200.0,1,28.784049
-499.88425,898,29.271481
-200.0,1,29.277008
-288.39334,455,29.494256
-425.64575,969,29.987946
-200.0,1,29.993282
-504.39297,920,30.519808
-200.0,1,30.52363
9.145279,778,30.947822
-416.0497,692,31.311285
-200.0,1,31.314774
-200.0,1,31.318559
-375.80557,646,31.696099
-200.0,1,31.700414
-286.79352,423,31.96886
-200.0,1,31.974178
-637.07587,1307,32.749192
-200.0,1,32.753094
-389.76138,657,33.088811
-200.0,1,33.092929
-200.0,1,33.097216
-559.05255,1044,33.628052
-200.0,1,33.632124
-326.00623,471,33.885575
-535.96344,1008,34.416894
-200.0,1,34.421528
-993.0737,2191,35.517986
-200.0,1,35.522121
-469.76218,979,35.975096
-200.0,1,35.978925
-600.4026,1203,36.61373
-200.0,1,36.618782
-421.4053,888,37.068794
-200.0,1,37.072825
-200.0,1,37.076692
-269.42224,354,37.279422
-200.0,1,37.283782
-310.9743,392,37.498239
-200.0,1,37.502024
5.048584,701,37.880735
-604.80237,1105,38.476964
-200.0,1,38.480788
-200.0,1,38.484144
-555.1916,957,38.998598
-581.275,1020,39.567475
-200.0,1,39.571419
-295.9168,361,39.774431
-200.0,1,39.779068
-638.0446,1236,40.503364
-200.0,1,40.510418
-680.4689,1225,41.223836
-200.0,1,41.228384
-349.48297,502,41.558416
-200.0,1,41.56438
-272.79984,381,41.776139
-200.0,1,41.780517
-338.84094,461,42.069943
-200.0,1,42.074585
-335.45,475,42.361837
-200.0,1,42.365336
-302.54095,394,42.596966
-200.0,1,42.602086
94.52838,528,42.893863
-298.7614,328,43.109873
-200.0,1,43.114423
-278.4804,384,43.32454
